ID,Pendiente,Tiempo,Velocidad
1,0.000000,2,2.731010
2,0.000000,2,0.800053
3,-0.108640,2,1.656848
4,0.000000,1,4.433072
5,0.000000,2,1.510893
6,0.000000,1,4.433072
7,0.000000,1,8.599550
8,-0.017453,2,10.313275
9,-0.010421,2,17.272724
10,-0.017382,1,20.710559
11,0.000000,2,16.023116
12,0.000000,1,35.926427
13,-0.015471,1,23.269936
14,0.000000,1,23.426039
15,-0.015011,1,23.982336
16,-0.008362,2,21.526450
17,0.000000,2,22.631758
18,0.000000,1,24.656522
19,0.007580,2,23.748116
20,0.000000,2,24.601903
21,-0.016235,1,22.174711
22,0.000000,2,22.634743
23,0.000000,1,26.971618
24,0.007352,2,24.483809
25,0.000000,2,26.511982
26,-0.013701,1,26.274683
27,0.000000,1,27.217634
28,-0.007485,2,24.046742
29,0.000000,1,24.210266
30,-0.008692,2,20.707745
31,0.000000,2,24.359699
32,0.000000,2,24.465764
33,0.000000,2,24.463424
34,0.013430,1,26.806284
35,0.000000,1,26.793155
36,-0.013937,1,25.829816
37,-0.019644,2,27.489656
38,0.000000,2,29.556351
39,0.012552,1,28.681348
40,0.000000,2,27.193243
41,0.006792,2,26.499929
42,0.000000,2,24.395832
43,0.006617,2,27.200657
44,0.000000,2,25.675304
45,0.000000,1,26.432366
46,0.006882,2,26.154202
47,0.000000,2,27.515086
48,0.000000,2,27.244829
49,0.000000,1,26.432471
50,0.000000,1,26.385898
51,0.007446,2,24.174297
52,0.000000,1,24.069622
53,0.000000,1,24.546820
54,0.000000,1,22.817812
55,0.000000,1,21.477366
56,0.009286,2,19.383583
57,0.000000,2,22.883810
58,0.015185,1,23.707404
59,0.000000,2,21.249558
60,0.000000,1,21.194402
61,0.000000,2,23.732894
62,0.000000,1,24.923221
63,0.000000,2,22.195598
64,0.007682,2,23.431315
65,0.008186,2,21.987607
66,0.000000,1,25.355963
67,0.007447,2,24.171773
68,0.000000,1,23.925946
69,0.007182,2,25.063672
70,0.000000,2,22.026758
71,0.000000,1,24.047950
72,0.000000,2,24.730258
73,0.000000,2,26.054419
74,0.000000,1,27.457434
75,0.014149,1,25.444037
76,0.000000,2,25.115063
77,0.007330,2,24.557751
78,0.000000,1,24.850415
79,0.014650,1,24.573179
80,0.000000,1,25.457666
81,0.000000,2,20.504484
82,0.000000,1,21.089203
83,0.000000,2,24.601898
84,-0.007150,2,25.173319
85,-0.007221,2,24.927853
86,0.000000,1,24.210266
87,0.000000,1,24.084623
88,0.014870,1,24.210266
89,0.007000,2,25.712606
90,0.015473,1,23.266109
91,0.000000,2,21.277370
92,0.000000,1,20.171952
93,0.000000,1,19.421885
94,-0.009517,2,18.913714
95,0.010192,2,17.660909
96,0.000000,1,13.428220
97,0.000000,2,20.624467
98,0.008093,2,22.240413
99,0.021981,1,16.377433
100,0.022278,2,16.159550
101,0.028008,1,12.853469
102,0.000000,1,10.979129
103,0.022407,2,8.033294
104,0.033411,1,10.774800
105,0.021371,2,8.422486
106,0.000000,2,5.390881
107,0.037299,1,9.651751
108,0.000000,2,10.304287
109,0.019292,1,18.660460
110,0.015083,2,23.868382
111,0.016303,1,22.081684
112,0.018850,2,19.097739
113,0.019039,1,18.908788
114,0.018098,2,19.892212
115,0.027029,2,19.978205
116,0.025436,2,21.229740
117,0.034091,1,21.120098
118,0.032469,1,22.174708
119,0.032941,2,21.857002
120,0.036673,1,19.632755
121,0.032648,2,22.053573
122,0.027248,2,19.817723
123,0.016871,1,21.338420
124,0.036927,1,19.498129
125,0.018194,1,19.786504
126,0.024150,2,22.360244
127,0.030893,2,17.479888
128,0.027817,2,19.412420
129,0.035125,1,20.498033
130,0.017712,1,20.324848
131,0.038584,1,18.660460
132,0.027817,2,19.412420
133,0.028451,2,18.979691
134,0.030722,2,17.576728
135,0.024349,1,14.784970
136,0.030084,2,11.966521
137,0.035681,1,20.179008
138,0.021053,1,17.100007
139,0.018872,1,19.076144
140,0.034370,2,15.711430
141,0.017470,2,10.303132
142,0.034641,1,20.784856
143,0.032606,2,11.040842
144,0.037523,1,19.188425
145,0.028803,2,12.498723
146,0.016860,1,21.352882
147,0.000000,1,15.494260
148,0.017713,1,20.323516
149,0.017151,2,10.495042
150,0.029739,1,24.210263
151,0.034218,2,10.520712
152,0.033461,2,10.758748
153,0.017518,1,20.550467
154,0.040774,2,13.243860
155,0.055214,1,19.560366
156,0.081724,2,13.215134
157,0.076812,1,14.060387
158,0.000000,1,4.007635
159,0.079173,2,9.093989
160,0.102476,1,7.026052
161,0.055001,1,6.545282
162,0.074301,1,9.690286
163,0.063517,2,14.169496
164,0.024932,1,28.879027
165,0.013802,2,26.083548
166,0.000000,1,28.247861
167,-0.040744,2,30.924423
168,-0.041134,2,30.631810
169,-0.051359,1,28.037858
170,-0.026812,2,26.853185
171,-0.015080,2,11.936209
172,0.000000,1,18.828479
173,0.008705,2,20.677750
174,0.017275,1,20.838953
175,0.030677,2,23.470340
176,0.029739,1,24.210263
177,0.041781,2,21.540920
178,0.053237,1,20.286738
179,0.072777,1,19.786500
180,0.072083,2,17.479886
181,0.060937,1,17.723149
182,0.074800,2,16.844969
183,0.083639,1,12.912692
184,0.067148,2,13.403137
185,0.063397,1,22.714088
186,0.076343,1,18.862308
187,0.069675,2,10.333764
188,0.080559,2,11.171902
189,0.098975,1,14.549137
190,0.082722,2,8.703882
191,0.075045,1,19.188425
192,0.059814,1,12.037226
193,0.093682,2,11.528415
194,0.072963,2,12.335044
195,0.060134,1,11.973218
196,0.073701,1,14.653843
197,0.031243,1,11.522682
198,0.057472,2,9.395870
199,0.037306,1,19.299715
200,0.015190,2,11.849904
201,0.015445,1,23.309028
202,0.015187,2,11.852545
203,0.000000,1,20.154802
204,0.027357,1,13.159519
205,0.015769,2,11.414633
206,0.015844,2,11.360662
207,0.023138,1,15.558660
208,0.015408,2,11.682092
209,0.054809,2,9.852426
210,0.035900,2,10.027912
211,0.028460,1,12.649309
212,0.021249,2,8.471000
213,0.039999,1,18.000353
214,0.034463,2,10.445839
215,0.052541,2,3.425891
216,0.038687,2,4.652750
217,0.000000,2,1.775489
218,0.000000,2,0.418774
219,0.041785,11,1.566477
220,0.029012,1,12.408563
221,0.020427,2,8.811891
222,0.026510,1,13.579776
223,0.089131,1,4.039016
224,0.000000,2,3.192273
225,0.000000,1,1.184854
226,0.045448,2,3.960553
227,0.000000,2,1.889523
228,0.082289,2,2.187407
229,0.000000,2,0.540142
230,0.028688,26,0.965305
231,0.000000,2,5.196227
232,0.024956,2,7.212820
233,0.025223,1,14.272927
234,0.000000,2,9.826814
235,0.024679,2,7.293517
236,0.030114,1,11.954646
237,0.030089,1,11.964413
238,0.035363,2,10.180249
239,0.028224,1,12.755311
240,0.031118,1,11.568784
241,0.039137,2,9.198419
242,0.041646,1,17.288474
243,0.020766,1,17.335840
244,0.050483,1,21.393216
245,0.035900,2,10.027912
246,0.035423,1,20.325989
247,0.039727,1,18.123530
248,0.038624,2,13.980839
249,0.030074,1,23.940965
250,0.028292,1,25.448641
251,0.028033,2,12.842212
252,0.045115,1,23.938632
253,0.027790,2,12.954492
254,0.041926,1,17.173004
255,0.019158,1,18.791154
256,0.040967,2,8.787456
257,0.020922,1,17.207024
258,0.030949,2,11.631888
259,0.031088,1,23.160179
260,0.041648,2,12.965780
261,0.042343,1,25.506061
262,0.042970,1,25.133904
263,0.042267,1,25.551907
264,0.043394,2,16.592315
265,0.054293,1,26.522863
266,0.040664,2,17.705988
267,0.046495,1,23.228503
268,0.051384,2,14.012197
269,0.053891,1,20.040635
270,0.039680,1,27.217616
271,0.055574,2,6.477817
272,0.112493,1,3.200213
273,0.026548,1,13.560228
274,0.061984,2,5.807948
275,0.000000,1,2.732926
276,0.000000,1,2.051975
277,0.063337,2,2.841946
278,0.038150,2,4.718210
279,0.056618,1,6.358388
280,0.062322,1,5.776445
281,0.000000,1,5.109739
282,0.095515,1,3.769049
283,0.039300,2,4.580181
284,0.052464,1,6.861784
285,0.100500,2,1.791049
286,0.000000,2,1.656848
287,0.056085,2,3.209420
288,0.032110,2,5.605731
289,0.051307,2,7.016528
290,0.086019,1,8.370198
291,0.051156,2,7.037363
292,0.040072,2,8.983917
293,0.055613,1,6.473322
294,0.056085,1,6.418840
295,0.064461,1,11.169565
296,0.062020,1,11.609237
297,0.047026,2,7.655346
298,0.068688,1,5.241067
299,0.060228,1,11.954642
300,0.000000,1,4.395424
301,0.074336,1,9.685804
302,0.056195,2,6.406277
303,0.050194,1,14.344276
304,0.059102,1,12.182234
305,0.079530,1,4.526608
306,0.050158,2,7.177360
307,0.044751,1,8.044513
308,0.065668,2,8.223224
309,0.033438,1,10.766318
310,0.075185,1,9.576407
311,0.047551,2,7.570778
312,0.056366,1,12.773675
313,0.030876,1,11.659504
314,0.106564,1,3.378251
315,0.036623,2,4.914887
316,0.000000,1,0.837547
317,0.050690,2,3.550977
318,0.000000,1,0.837547
319,0.000000,1,0.483872
320,0.000000,2,0.418774
321,0.206846,1,1.740427
322,0.046964,35,0.438025
323,0.000000,1,0.483116
324,0.000000,1,1.448554
325,0.000000,2,0.638390
326,0.050109,41,0.350456
327,0.060130,2,2.993524
328,0.000000,1,6.473322
329,0.050945,2,7.066406
330,0.033390,1,10.781759
331,0.063233,2,8.539805
332,0.046099,2,7.809350
333,0.055848,1,12.892248
334,0.058800,1,12.244871
335,0.058800,1,12.244871
336,0.000000,2,7.369369
337,0.024558,1,14.659085
338,0.000000,1,4.776012
