ID,Pendiente,Tiempo,Velocidad
1,-0.048115,2,3.741025
2,0.000000,2,0.965846
3,0.000000,2,5.068985
4,0.000000,2,3.429734
5,0.000000,1,5.296230
6,0.000000,1,6.571109
7,0.000000,1,2.269566
8,0.000000,2,2.067050
9,0.000000,1,0.483116
10,0.000000,1,1.673568
11,0.000000,2,2.390134
12,0.000000,2,6.899945
13,-0.019255,2,9.348462
14,0.000000,1,12.651217
15,0.000000,2,10.992956
16,0.000000,2,13.003623
17,-0.025825,1,13.939945
18,0.000000,2,13.956622
19,0.000000,1,12.067409
20,0.000000,2,19.429778
21,0.000000,1,16.515576
22,0.000000,1,20.211048
23,0.009538,2,18.871819
24,0.031276,1,11.510240
25,0.000000,2,15.027646
26,0.011778,2,15.283222
27,0.000000,1,13.151592
28,0.000000,1,19.107306
29,-0.011484,2,15.673864
30,0.000000,2,13.327673
31,-0.017064,1,21.096562
32,0.000000,2,18.591728
33,-0.009926,2,18.133823
34,-0.009258,2,19.441823
35,0.000000,1,21.307338
36,0.000000,2,20.800933
37,0.000000,1,20.547317
38,0.000000,1,20.229178
39,0.000000,1,19.985170
40,0.000000,2,18.135365
41,0.000000,1,20.239769
42,0.000000,2,19.827099
43,0.000000,2,21.603998
44,0.000000,1,21.329381
45,0.008751,2,20.569711
46,0.008728,2,20.623721
47,0.017319,1,20.786098
48,0.000000,2,19.985171
49,0.009283,2,19.390541
50,0.000000,2,20.302713
51,0.017212,1,20.915946
52,0.000000,1,19.085047
53,0.000000,1,8.996342
54,0.000000,2,24.436969
55,0.000000,1,22.375260
56,0.000000,2,21.876890
57,0.016513,1,21.800959
58,0.000000,1,22.199893
59,0.000000,2,22.185466
60,0.000000,1,22.157921
61,0.016235,1,22.173660
62,0.000000,2,21.450296
63,0.016163,1,22.273178
64,0.000000,2,22.156600
65,0.015702,1,22.926416
66,0.000000,1,21.859603
67,0.000000,2,22.831198
68,0.000000,1,23.694646
69,-0.007956,2,22.623997
70,-0.016784,1,21.448930
71,-0.008199,2,21.954985
72,-0.016259,1,22.142149
73,0.000000,2,21.578515
74,0.000000,2,21.593342
75,0.000000,2,21.790276
76,0.000000,1,21.827642
77,0.000000,2,20.531383
78,-0.008958,2,20.093753
79,0.000000,1,18.123613
80,-0.016759,1,21.481459
81,-0.008688,2,20.718691
82,0.000000,2,20.862529
83,0.000000,1,22.157921
84,0.000000,1,21.800959
85,0.008561,2,21.024778
86,0.000000,1,21.394609
87,0.016529,1,21.779579
88,0.008362,2,21.524769
89,0.017521,2,20.547295
90,0.009019,2,19.958657
91,0.009166,2,19.637908
92,0.017370,1,20.725888
93,0.009998,2,18.004057
94,0.009333,2,19.286602
95,0.019053,1,18.894870
96,0.019332,1,18.621878
97,0.009095,2,19.791394
98,0.018100,1,19.889204
99,0.000000,1,20.040746
100,0.018045,1,19.949670
101,0.009368,2,19.215013
102,0.009682,2,18.591223
103,0.009377,2,19.195823
104,0.000000,2,19.446800
105,0.018275,1,19.699027
106,0.000000,1,18.694678
107,0.008980,2,20.045027
108,0.000000,1,19.111295
109,0.009332,2,19.288917
110,0.022202,1,16.214702
111,0.000000,2,8.998600
112,0.051042,1,14.106038
113,0.016112,2,11.171907
114,0.000000,2,10.784470
115,0.000000,1,10.958209
116,0.000000,2,3.827815
117,0.000000,2,8.799664
118,0.000000,1,14.649710
119,0.000000,1,4.580183
120,0.028224,2,6.377661
121,0.000000,2,1.051861
122,0.000000,1,2.507548
123,0.000000,1,2.507548
124,0.000000,1,2.264504
125,0.000000,1,2.507548
126,0.000000,1,2.103721
127,0.000000,1,2.507548
128,0.000000,2,8.814235
129,0.000000,1,8.150695
130,0.000000,2,8.164703
131,0.000000,1,15.367309
132,0.014443,1,24.925442
133,0.000000,2,13.720127
134,0.012548,1,28.690002
135,0.000000,1,18.498823
136,-0.013351,2,13.482452
137,-0.011813,1,30.474583
138,0.000000,2,15.565140
139,-0.017905,1,20.106014
140,-0.009279,2,19.397815
141,-0.017938,1,20.069028
142,-0.009163,2,19.643177
143,-0.008887,2,20.253389
144,0.000000,2,19.568056
145,-0.014014,1,25.688945
146,0.000000,1,13.340149
147,0.000000,2,10.587006
148,-0.011410,1,31.552358
149,0.000000,2,14.081452
150,-0.016978,2,10.602175
151,0.000000,1,14.522710
152,0.000000,1,14.661353
153,0.000000,1,21.798904
154,-0.014293,2,12.593718
155,0.000000,1,17.396525
156,0.000000,1,29.611523
157,0.015522,2,11.596615
158,0.000000,2,16.964998
159,0.000000,1,22.035524
160,0.000000,2,14.776088
161,0.000000,1,16.496201
162,0.018050,1,19.944619
163,0.000000,1,27.707490
164,0.000000,2,13.555949
165,0.009407,2,19.134527
166,0.000000,1,18.747504
167,0.000000,2,18.755311
168,0.000000,2,19.154398
169,0.000000,2,19.552781
170,0.000000,2,19.352360
171,0.000000,1,18.352249
172,0.000000,2,18.135274
173,0.009496,2,18.954371
174,0.000000,1,19.165090
175,0.000000,2,19.163569
176,0.000000,2,19.154399
177,0.018802,1,19.146751
178,0.000000,1,19.146751
179,0.009397,2,19.154399
180,0.019569,1,18.396857
181,0.009700,2,18.557253
182,0.018784,1,19.165090
183,0.000000,1,18.766228
184,0.018784,1,19.165090
185,0.009578,2,18.792718
186,0.020036,1,17.967852
187,0.023149,1,15.551111
188,0.012365,2,14.557768
189,0.040130,1,17.941741
190,0.021505,1,16.740414
191,0.018689,1,19.262585
192,0.026624,1,13.521632
193,0.023316,2,7.720069
194,0.030876,1,11.659518
195,0.044955,1,16.016033
196,0.112490,2,6.400577
197,0.110019,1,16.360801
198,0.109279,2,6.588652
199,0.112644,1,15.979478
200,0.118697,1,15.164726
201,0.112732,1,12.773689
202,0.112561,2,9.594756
203,0.128815,1,8.384148
204,0.129042,1,11.159118
205,0.100331,2,7.176215
206,0.119268,2,10.564468
207,0.100312,1,10.766365
208,0.107524,1,16.740439
209,0.116535,1,12.356802
210,0.112894,2,6.377679
211,0.100218,1,14.368727
212,0.116535,1,12.356802
213,0.082125,2,6.575326
214,0.075257,1,19.134529
215,0.062020,1,11.609251
216,0.050166,2,7.176215
217,0.075377,1,4.776019
218,0.045161,1,15.942787
219,0.000000,1,5.196233
220,0.017034,2,10.567251
221,0.000000,1,11.159118
222,-0.014806,1,24.314767
223,-0.048806,2,7.376148
224,-0.057325,1,25.119954
225,-0.074187,2,14.557768
226,-0.098747,1,25.519838
227,-0.115143,2,29.702135
228,-0.130584,1,33.082204
229,-0.129590,2,37.502816
230,-0.141917,1,38.050517
231,-0.054844,2,32.820145
232,-0.024297,1,29.633627
233,-0.012311,1,29.242246
234,-0.013247,2,27.175766
235,-0.017036,1,21.131287
236,0.000000,2,19.241303
237,0.019596,1,18.371380
238,0.000000,1,13.560246
239,0.026315,1,13.680594
240,0.000000,1,13.966211
241,0.022560,1,15.957486
242,0.012543,2,14.350383
243,0.011366,1,31.672613
244,0.000000,1,17.941745
245,0.016725,1,21.524170
246,0.000000,2,9.093996
247,0.000000,1,15.149290
248,0.022918,1,15.708406
249,0.000000,2,15.798280
250,0.021460,1,16.775359
251,0.000000,1,21.554438
252,0.000000,2,14.667923
253,0.020414,1,17.634805
254,0.000000,1,17.734079
255,0.021208,2,16.974794
256,0.000000,1,16.844987
257,0.026527,1,27.142117
258,0.032841,1,21.923680
259,0.000000,2,8.169674
260,0.013962,2,12.892262
261,0.000000,1,14.822388
262,0.000000,1,4.995821
263,0.000000,2,3.416558
264,0.047548,1,7.571369
265,0.000000,1,18.000371
266,0.042309,1,8.508892
267,0.000000,2,8.518055
268,0.019375,1,18.580475
269,0.021823,2,8.248102
270,0.032750,1,10.992341
271,0.043778,1,16.446467
272,0.000000,2,4.818667
273,0.037547,2,9.587909
274,0.051652,1,13.939394
275,0.000000,1,4.262443
276,0.051553,1,13.966214
277,0.069281,1,5.196233
278,0.025792,1,13.957790
279,0.064079,2,8.427125
280,0.000000,1,5.287799
281,0.061931,1,5.812967
282,0.063227,1,11.387556
283,0.041993,1,17.145702
284,0.100161,1,7.188412
285,0.051307,2,7.016537
286,0.080929,1,4.448347
287,0.058268,1,12.356802
288,0.049359,1,14.587049
289,0.079530,1,4.526611
290,0.083771,2,6.446131
291,0.000000,1,3.610447
292,0.075163,1,14.368727
293,0.062469,2,8.644248
294,0.052368,1,6.874409
295,0.072396,2,7.459007
296,0.086724,1,4.151099
297,0.066069,1,16.346495
298,0.050081,1,7.188412
299,0.077376,1,13.957790
300,0.088406,2,10.180260
301,0.049855,1,7.220891
302,0.094573,1,7.613161
303,0.082886,2,6.515005
304,0.059460,2,9.081785
305,0.087679,1,16.423628
306,0.057264,1,6.286691
307,0.238236,1,13.599965
308,0.000000,1,4.686401
309,0.040842,1,8.814470
310,0.039966,2,4.503881
311,0.053360,1,13.493344
312,0.033437,1,10.766369
313,0.034716,2,5.184963
314,0.046209,1,15.581232
315,0.000000,1,6.418847
316,0.038737,1,9.293371
317,0.026510,2,6.789917
318,0.000000,1,8.116895
319,0.000000,2,7.766559
320,0.000000,1,7.271644
321,0.000000,2,5.700046
322,0.000000,1,5.991476
323,0.000000,1,6.384553
324,0.000000,1,7.271644
325,-0.022930,2,7.850120
326,-0.037151,1,9.690293
327,-0.015233,2,11.816107
328,-0.046301,1,15.550405
329,-0.031056,2,17.388086
330,-0.056080,1,25.677619
331,-0.055667,2,22.634752
332,-0.070743,1,25.444055
333,-0.079181,2,22.732699
334,-0.099256,1,25.388813
335,-0.089801,1,28.062000
336,-0.100687,2,28.603402
337,-0.103831,1,27.737442
338,-0.094363,2,26.705511
339,-0.097263,1,25.909016
340,-0.021211,2,25.457890
341,0.000000,2,24.408797
342,0.000000,2,22.964665
343,0.000000,1,22.349671
344,0.000000,1,21.538141
345,-0.017034,1,21.134509
346,0.000000,1,22.333954
347,-0.008764,2,20.539683
348,0.000000,1,20.014960
349,0.000000,2,19.344798
350,0.000000,1,18.747511
351,-0.009818,2,18.333131
352,0.000000,1,13.957790
353,0.000000,1,15.149290
354,0.010502,2,17.138898
355,0.000000,2,14.368729
356,0.000000,1,19.452380
357,0.016727,1,21.521851
358,0.000000,2,8.983930
359,0.000000,1,12.755362
360,0.000000,1,13.568918
361,0.000000,1,17.241044
362,0.000000,2,11.228260
363,0.000000,1,14.918015
364,0.000000,2,16.169463
365,0.000000,1,26.080150
366,-0.016306,1,22.077986
367,0.000000,2,11.544671
368,-0.017620,2,20.431147
369,0.000000,1,18.689576
370,0.000000,1,18.420523
371,0.000000,2,18.492797
372,0.000000,1,18.015710
373,0.009384,2,19.181165
374,0.000000,1,19.412438
375,0.018194,1,19.786518
376,0.000000,2,19.258313
377,0.000000,2,18.833380
378,-0.009510,2,18.926883
379,0.000000,1,18.833378
380,0.000000,2,18.403724
381,0.000000,1,18.833378
382,0.000000,1,18.660596
383,0.000000,1,17.623800
384,0.000000,2,17.871606
385,0.000000,1,19.632766
386,0.009280,2,19.396316
387,0.000000,2,19.138995
388,0.018931,1,19.016374
389,0.000000,1,18.872381
390,0.000000,1,18.887123
391,0.010160,2,17.717391
392,0.000000,1,12.912052
393,0.010311,2,17.456747
394,0.000000,1,11.066440
395,0.011460,2,15.706557
396,-0.027442,1,13.118767
397,-0.031867,1,11.296782
398,-0.101380,1,3.550979
399,0.019488,2,9.236534
400,0.042655,1,8.439883
401,0.021975,2,8.191129
402,0.000000,1,11.568802
403,0.057474,1,18.791179
404,0.000000,1,7.986035
405,0.000000,2,4.421945
406,0.000000,2,8.188724
407,0.000000,1,15.164730
408,0.026510,1,13.579787
409,0.000000,2,6.699033
410,0.020712,1,17.381542
411,0.030922,2,11.642132
412,0.014828,1,24.278166
413,0.000000,2,10.888213
414,0.028039,1,12.839166
415,0.000000,1,10.781773
416,0.021937,1,16.410827
417,0.000000,2,3.965850
418,0.000000,1,2.509556
419,0.000000,1,9.548338
420,0.000000,1,3.708576
