ID,Pendiente,Tiempo,Velocidad
1,0,2,8.370216
2,0,2,2.507546
3,0,1,1.933279
4,0,2,2.755786
5,0,2,6.236599
6,0,1,1.740427
7,0,1,0.836075
8,0,2,4.081491
9,0,2,0.965846
10,0,1,3.057854
11,0,2,2.01951
12,0,5,7.358107
13,0,2,11.260924
14,0,2,13.021016
15,0,2,13.465208
16,0,1,13.025358
17,0,2,12.838804
18,-0.019171,2,9.389129
19,0,1,13.256305
20,0,1,12.858941
21,0,2,14.314223
22,-0.020414,1,17.634794
23,-0.018126,2,19.860674
24,-0.017584,1,20.472736
25,0,1,20.789006
26,-0.00843,2,21.351526
27,0,2,21.042536
28,-0.016691,1,21.568932
29,0,1,22.311547
30,-0.015664,2,22.981923
31,0,2,23.2945
32,0,1,22.34381
33,0.008144,2,22.102623
34,0,2,20.227498
35,-0.008354,2,21.547469
36,0,1,24.43909
37,0.006812,2,26.425836
38,0,2,25.937343
39,-0.0073,2,24.656522
40,0,1,24.271189
41,0,1,23.496426
42,-0.008208,2,21.930746
43,0,1,20.9052
44,-0.009424,2,19.100032
45,0,2,17.982776
46,0,2,18.228391
47,0,2,18.035309
48,0,2,17.735855
49,0.020312,1,17.723156
50,0,2,16.80903
51,-0.015576,2,11.555946
52,0,2,8.815223
53,0,1,5.241071
54,-0.036026,2,4.996415
55,0,2,5.496167
56,-0.018399,2,9.783371
57,-0.025078,2,14.355293
58,0,1,18.052902
59,0.036734,1,19.600394
60,0.008263,2,21.783555
61,-0.007282,2,24.718288
62,0,2,26.103258
63,0,2,25.897378
64,0.014985,1,24.023682
65,0,1,22.895921
66,0,2,21.051059
67,0.008719,2,20.644452
68,0.00876,2,20.548721
69,0,2,21.628604
70,0.015788,1,22.802058
71,0,1,22.802058
72,0.008053,2,22.351626
73,0,1,22.572036
74,0.007992,2,22.521719
75,0.007909,2,22.757549
76,0.007946,2,22.654172
77,0.007709,2,23.350511
78,0.007713,2,23.336991
79,0.007591,2,23.712433
80,0.015829,1,22.743695
81,0.00796,2,22.612822
82,0.01558,1,23.106258
83,0,1,23.043607
84,0.008075,2,22.290824
85,0.016834,1,21.38486
86,0,1,19.634252
87,0.009332,2,19.28934
88,0.008954,2,20.103161
89,0.008342,2,21.576341
90,0.016543,1,21.761377
91,0.008159,2,22.062542
92,0,1,22.743695
93,0.016268,2,22.129454
94,0,1,20.950506
95,0.008642,2,20.829245
96,0.019449,2,18.510115
97,0,1,17.119832
98,0.021979,1,16.37897
99,0,2,16.782966
100,0.022486,1,16.010305
101,0.010768,2,16.715875
102,0.010159,2,17.718275
103,0.009053,2,19.883119
104,0,1,21.646616
105,0.016205,2,22.215838
106,0.016047,1,22.434577
107,0.008297,2,21.694948
108,0.008546,2,21.062702
109,0,2,20.220777
110,0.00913,2,19.714806
111,0.01771,1,20.328059
112,0,2,19.785136
113,0.018066,1,19.9269
114,0,2,20.478895
115,0.008558,2,21.033088
116,0,1,23.271206
117,0,1,23.281204
118,0.007993,2,22.519595
119,0,1,21.405485
120,0,2,20.128486
121,0.009454,2,19.038847
122,0,2,18.804019
123,0,1,19.407733
124,0.009488,2,18.971919
125,0,2,17.712239
126,0.010185,2,17.673318
127,0,1,18.456671
128,0.009976,2,18.04369
129,0.010021,2,17.961799
130,0.01031,2,17.458571
131,0.010066,2,17.881718
132,0.010007,2,17.987168
133,0,1,19.535436
134,0.009706,2,18.544752
135,0.019753,2,18.225515
136,0.010562,2,17.042092
137,0.019879,2,18.109679
138,0,1,18.833393
139,0.019609,2,18.359177
140,0.017997,2,20.003427
141,0.015889,1,22.656542
142,0.015767,2,22.83248
143,0.015701,2,22.92912
144,0.014631,1,24.605046
145,0.014551,2,24.740557
146,0.007139,2,25.214503
147,0.014856,2,24.232406
148,0.014611,2,24.638216
149,0.007549,2,23.843201
150,0.007899,2,22.788416
151,0.016268,1,22.129452
152,0.009502,2,18.9443
153,0.010795,2,16.674048
154,0.023577,1,15.26927
155,0.011018,2,16.337371
156,0.020844,1,17.270921
157,0.009732,2,18.495463
158,0.009206,2,19.553287
159,0.017742,2,20.290817
160,0.009818,2,18.333803
161,0.022578,1,15.944742
162,0.009857,2,18.261158
163,0.01702,1,21.151706
164,0.009033,2,19.9269
165,0.010188,2,17.667828
166,0.020363,1,17.679348
167,0,1,17.378384
168,0.01062,2,16.949878
169,0.018387,1,19.578719
170,0,1,19.216613
171,0.01068,2,16.854545
172,0,1,18.174931
173,0.016827,1,21.394609
174,0,1,17.058539
175,0.01227,2,14.670412
176,0.024775,1,14.53073
177,0.012545,2,14.348315
178,0,1,17.485193
179,0.02448,1,14.705885
180,0.013219,2,13.616753
181,0.027295,1,13.189104
182,0.017611,2,10.220785
183,0.095917,1,11.259778
184,0,2,14.966469
185,-0.024744,1,14.549141
186,0,2,13.539951
187,0,1,16.61639
188,-0.020507,1,17.554928
189,0,1,17.241034
190,-0.009233,2,19.49515
191,0,1,21.858782
192,0,1,22.828759
193,-0.007407,2,24.302191
194,-0.007504,2,23.98581
195,-0.014297,1,25.180247
196,-0.00709,2,25.38859
197,-0.007457,2,24.136826
198,-0.007964,2,22.60228
199,0,1,21.786725
200,-0.008495,2,21.187741
201,0,2,19.647324
202,-0.017885,1,20.128075
203,0,2,20.32371
204,0,1,19.958699
205,0,2,19.460587
206,0,1,19.425971
207,0,1,19.657282
208,0,2,19.886704
209,0,2,19.852823
210,0,1,18.791161
211,0.009502,2,18.943168
212,0,2,18.908764
213,0,1,18.91534
214,-0.020058,1,17.948282
215,0,2,16.964991
216,0,1,16.740428
217,0,2,16.344702
218,0,1,16.7544
219,0.01098,2,16.392976
220,0,1,17.634791
221,0,1,15.957472
222,0.010939,2,16.454718
223,0.010541,2,17.076208
224,0,2,14.950152
225,0,2,11.8161
226,0,2,6.427768
227,0.024872,2,7.237112
228,0,2,5.80795
229,0,1,5.428357
230,0,2,3.827815
231,0,2,1.50707
232,0,2,1.321949
233,0,2,1.13468
234,0,2,2.612457
235,0.073159,1,4.920808
236,0,2,6.122437
237,0,1,9.39587
238,0.013996,2,12.860455
239,0.011755,2,15.312992
240,0.010662,2,16.882578
241,0.019777,1,18.203159
242,0.009898,2,18.184779
243,0.020606,1,17.470354
244,0,1,18.10643
245,0.020606,1,17.470354
246,0.01018,2,17.681184
247,0.009792,2,18.382102
248,0.019777,1,18.203155
249,0.010486,2,17.165651
250,0,1,17.315543
251,0,2,17.389753
252,0.022383,1,16.083986
253,0.010943,2,16.448224
254,0.010595,2,16.989129
255,0,1,17.079617
256,0.020332,2,17.705993
257,0.009054,2,19.879648
258,0.017862,1,20.154805
259,0.008943,2,20.127492
260,0.017034,1,21.134488
261,0.016401,1,21.950334
262,0.017364,2,20.732783
263,0.008769,2,20.526835
264,0.018403,1,19.561752
265,0.01805,1,19.944605
266,0.018592,2,19.362926
267,0.009705,2,18.54778
268,0.020036,1,17.967838
269,0.021764,2,16.541082
270,0.021253,2,16.939091
271,0.04301,1,16.740425
272,0.033871,2,15.942782
273,0.033871,2,15.942776
274,0.022004,1,16.360787
275,0.020922,1,17.207028
276,0.011104,2,16.211027
277,0.028924,2,12.446442
278,0.015573,2,11.558689
279,0,1,11.57895
280,0.016087,2,11.189083
281,0.030562,1,11.77938
282,0.01494,2,12.048458
283,0.012632,2,14.249218
284,0.023655,1,15.218665
285,0.022994,1,15.656155
286,0.022809,2,15.783442
287,0.023161,1,15.543587
288,0.022557,2,15.959295
289,0.020922,1,17.207028
290,0.022454,2,16.03247
291,0.024338,1,14.791896
292,0.012348,2,14.577844
293,0.023703,1,15.187853
294,0.02575,2,13.980843
295,0,1,13.560232
296,0.029134,1,12.356791
297,0.030089,1,11.964413
298,0.017519,2,10.274684
299,0.036863,2,9.765905
300,0.025054,1,14.368712
301,0,1,4.448344
302,0,1,8.577428
303,0.02088,2,8.620513
304,0,1,12.168158
305,0,1,13.680583
306,0.014113,2,12.754201
307,0.019637,2,9.166556
308,0,2,6.9831
309,0,2,1.321949
310,0,1,2.815484
311,0.143452,2,1.254776
312,0,2,1.407742
313,0,1,2.643898
314,0,1,2.815484
315,0,2,3.432794
316,0,1,4.800406
317,0,1,1.600106
318,0,1,3.674686
319,0,1,4.151095
320,0.097968,2,1.837343
321,0,1,0.836075
322,0,1,0.48245
323,0,1,9.29336
324,0,1,7.720063
325,0.01171,3,10.247822
326,0.025083,1,14.352419
327,0,2,14.35766
328,0,2,13.061399
329,0.01348,2,13.352643
330,0.021005,1,17.138898
331,0.010035,2,17.936843
332,0.020527,2,17.538253
333,0.01129,2,15.94278
334,0.023161,1,15.543587
335,0.04512,1,15.957472
336,0.033311,2,16.211023
337,0.042974,1,16.754396
338,0.02256,1,15.957472
339,0.033852,2,15.951955
340,0.022182,2,16.22907
341,0.033695,2,16.02634
342,0.030705,2,17.586578
343,0.032251,2,16.743899
344,0.032097,2,16.824112
345,0.04262,1,16.893533
346,0.031986,2,16.882576
347,0.022245,2,16.183757
348,0.023509,1,15.312989
349,0.021109,1,17.054467
350,0,1,18.30577
351,0.010042,2,17.925131
352,0.020312,1,17.723149
353,0,1,17.546184
354,0,1,17.659256
355,0.010149,2,17.735852
356,0.02002,2,17.98218
357,0,2,16.299869
358,0.012386,2,14.5325
359,0.023771,1,15.144804
360,0,1,14.118754
361,0.025826,1,13.939384
362,0,1,13.521622
363,0.013644,2,13.192943
364,0.01402,2,12.838799
365,0,1,12.649309
366,0.027875,1,12.914903
367,0,1,13.795855
368,0.013813,2,13.03112
369,0.027482,1,13.099457
370,0,1,14.168196
371,0.027101,2,13.283606
372,0,1,13.05914
373,0.01386,2,12.987214
374,0.028004,1,12.855532
375,0.013537,2,13.296769
376,0.014014,2,12.844465
377,0.026695,2,13.485805
378,0.013539,2,13.294593
379,0.026099,2,13.793746
380,0.025993,2,13.849781
381,0.027265,1,13.203875
382,0.024898,2,14.458703
383,0.02964,1,12.145867
384,0.030072,1,11.971148
385,0.038233,2,14.12393
386,0,1,12.649309
387,0.04491,2,12.023971
388,0.022981,1,15.665026
389,0.022936,1,15.695806
390,0.02292,2,15.706537
391,0.026849,1,13.40856
392,0.028889,2,12.461607
393,0,1,11.827674
394,0.03407,1,10.566616
395,0.029461,2,12.219539
396,0.02382,2,15.113511
397,0.022998,1,15.653236
398,0.042267,2,12.775932
399,0.025079,1,14.354723
400,0.022735,1,15.834568
401,0.034888,2,15.477984
402,0.025549,2,14.090618
403,0.026115,1,13.785102
404,0.035622,2,15.159053
405,0.022182,2,16.22957
406,0.026418,2,13.627156
407,0.025778,2,13.965248
408,0.02573,1,13.991321
409,0.030008,2,11.996924
410,0.031878,1,11.292941
411,0.022472,1,16.019723
412,0,1,6.008929
413,0.032942,1,10.928203
414,0.024622,2,14.621107
415,0.024679,1,14.587034
416,0.023138,2,15.559081
417,0.027482,1,13.099453
418,0.029931,2,12.027857
419,0.038584,2,9.330228
420,0.017905,2,10.052809
421,0.039002,1,9.23022
422,0.039254,2,4.585532
423,0,1,3.276662
424,0.02651,2,6.789888
425,0.051101,1,7.044883
426,0,2,4.108102
427,0,1,2.507544
428,0.186212,1,1.933279
429,0,1,2.047068
430,0,2,0.724277
431,0,1,0.48245
432,0,3,0.160817
433,0,1,3.276662
434,0,2,3.058902
435,0.192099,1,1.874034
436,0,1,1.675098
437,0,1,0.836075
438,0,2,1.889523
439,0,1,1.529845
440,0,1,1.081973
441,0.054611,1,6.592043
442,0.021916,2,8.212997
443,0.028609,1,12.58339
444,0,1,4.580179
445,0.018514,2,9.722365
446,0.086719,2,10.378377
447,0.039092,2,13.813531
448,0.056245,1,12.801139
449,0.059171,1,12.168155
450,0.044109,2,12.242493
451,0.02832,1,12.71169
452,0.056215,2,12.80801
453,0.02788,1,12.912692
454,0.045862,2,11.774434
455,0.062291,1,11.558686
456,0.0322,1,11.180092
457,0.046718,2,11.558686
458,0.059501,1,12.100644
459,0.045152,2,11.95952
460,0.030089,1,11.964409
461,0.058268,1,12.356788
462,0.013681,2,13.157307
463,0,1,14.752278
464,0,1,13.551613
465,0,2,14.150281
466,0.013476,2,13.357021
467,0,1,13.203914
468,0,2,12.389882
469,0.016048,2,11.21665
470,0,1,10.766354
471,0,2,12.010801
472,0,1,13.177285
473,0.027237,2,13.217229
474,0.027765,2,12.96578
475,0.027746,2,12.974809
476,0.052962,1,13.594756
477,0.030876,1,11.659504
478,0,1,11.568784
479,0.036762,2,9.792837
480,0.02846,2,6.324653
481,0.040706,2,4.421939
482,0,2,2.507546
483,0.0439,1,8.200382
484,0.029416,2,12.238434
485,0.048549,1,7.415114
486,0.01953,2,9.216522
487,0.026809,1,13.42822
488,0.074244,1,4.848905
489,0.033952,2,10.603177
490,0.016976,2,10.603177
491,0.037322,2,9.645716
492,0.03407,2,10.566614
493,0.02488,2,14.469579
494,0.027482,1,13.099453
495,0.033656,2,10.696606
496,0.025777,1,13.966196
497,0.075377,1,4.776012
498,0.028183,1,12.773675
499,0,1,4.395424
500,0.033446,2,10.763622
501,0.034744,2,10.361452
502,0.018431,2,9.765902
503,0.036111,1,9.96934
504,0.027482,2,6.549727
505,0.033204,2,5.421004
506,0.052762,1,6.82312
507,0,1,6.473322
508,0.026976,2,6.672514
509,0.029134,2,6.178394
510,0.030089,2,5.982205
511,0.06446,1,5.584838
512,0,1,6.382217
513,0.047527,2,7.574634
514,0.023513,2,7.655344
515,0,1,8.439872
516,0.037568,2,9.582534
517,0.031145,2,11.558693
518,0.034077,2,10.564457
519,0.025808,1,13.949402
520,0,1,4.39533
521,0.028122,2,6.40057
522,0.027366,2,6.577585
523,0.071783,1,5.015092
524,0,1,3.61044
525,0.070168,2,2.565263
526,0,1,2.558754
527,0,2,3.165725
528,0.050945,2,7.066404
529,0.020072,2,8.967605
530,0.033952,2,10.603177
531,0.027607,2,13.040055
532,0.0322,1,11.180092
533,0.023764,1,15.149268
534,0,1,4.776012
535,0.037497,1,9.600811
536,0.021665,2,8.30819
537,0.025054,1,14.368709
538,0.074244,1,4.848905
539,0.018731,2,9.609993
540,0.036068,2,9.981099
541,0.037378,2,9.63128
542,0.02256,2,7.978734
543,0,1,6.273504
544,0.046632,2,7.72006
545,0,1,10.790366
546,0.088548,1,4.065606
547,0,1,6.788736
548,0.02987,2,6.026076
549,0.069583,1,5.1737
550,0.030876,2,5.829752
551,0,2,5.196227
552,0.036839,2,4.88615
553,0.029967,2,6.006611
554,0.05974,1,6.026076
555,0,2,5.106501
556,0.058436,1,6.160583
557,0.024403,2,7.376139
558,0.042867,1,8.398156
559,0.021005,2,8.569445
560,0.050081,1,7.188404
561,0.026565,2,6.775805
562,0,1,8.000737
563,0.037568,2,9.582532
564,0.028183,1,12.773675
565,0.027787,1,12.955633
566,0.028724,2,12.533081
567,0.030472,2,11.81412
568,0.032942,1,10.928203
569,0.023149,1,15.551093
570,0,1,5.196226
571,0.03327,1,10.82057
572,0.030016,2,11.993737
573,0.030046,2,11.981524
574,0.030077,2,11.969314
575,0.031674,2,11.365807
576,0.029134,2,12.356761
577,0.029391,2,12.248503
578,0.027924,2,12.892246
579,0.028122,1,12.801139
580,0.026565,2,13.551619
581,0.025363,2,14.193646
582,0.031349,2,11.483651
583,0.017711,2,10.162993
584,0.031613,1,11.387542
