ID,Pendiente,Tiempo,Velocidad
1,0.000000,2,0.540142
2,0.000000,1,1.276780
3,0.000000,1,0.684299
4,0.000000,1,0.684299
5,0.000000,1,0.482450
6,0.000000,2,0.967622
7,0.000000,1,2.507544
8,0.000000,2,4.513090
9,-0.029848,2,6.030590
10,0.000000,2,7.156431
11,0.000000,2,8.411405
12,0.000000,2,8.818828
13,0.019212,2,9.369148
14,0.000000,1,15.392916
15,0.000000,1,4.564440
16,0.000000,2,9.998449
17,0.017634,2,10.207595
18,0.000000,2,10.164636
19,0.018252,2,9.861953
20,0.000000,2,10.206092
21,0.017696,2,10.171611
22,0.000000,1,10.143947
23,0.018924,2,9.511486
24,0.000000,2,8.891384
25,0.000000,1,8.678750
26,0.000000,2,8.892371
27,0.000000,2,10.138208
28,0.032499,1,11.077178
29,0.000000,2,10.738710
30,0.000000,1,15.128384
31,0.000000,1,5.307649
32,0.015509,2,11.606472
33,0.000000,1,11.937366
34,0.016031,2,11.228238
35,0.000000,1,11.077178
36,0.000000,2,11.120848
37,0.000000,1,11.077178
38,0.000000,2,12.007093
39,0.000000,1,11.469470
40,0.000000,1,11.387534
41,0.000000,2,11.742055
42,0.016604,2,10.840640
43,0.000000,1,11.937366
44,0.000000,2,11.171891
45,0.000000,2,11.580080
46,0.015408,2,11.682081
47,0.032230,1,11.169558
48,0.000000,1,10.928196
49,0.047168,1,15.264706
50,0.000000,1,4.776008
51,0.018431,2,9.765896
52,0.078980,1,13.674326
53,0.000000,1,4.778183
54,0.000000,2,9.876555
55,0.000000,1,10.933308
56,0.000000,1,12.308450
57,0.000000,2,12.570430
58,0.000000,1,12.855719
59,0.000000,2,12.435464
60,0.000000,1,11.747232
61,0.000000,2,13.119379
62,0.027445,1,13.117154
63,0.000000,2,12.846782
64,0.000000,2,12.843706
65,0.000000,1,12.848249
66,0.000000,1,12.300574
67,0.000000,2,12.301378
68,0.000000,1,12.571945
69,0.000000,1,12.602977
70,0.014163,2,12.709354
71,0.000000,1,12.308450
72,0.000000,2,12.159398
73,0.000000,1,11.486786
74,0.016063,2,11.205634
75,0.000000,2,11.626079
76,0.000000,2,11.627881
77,0.000000,1,10.740348
78,0.000000,2,11.087345
79,0.017289,2,10.411510
80,0.000000,1,16.154320
81,0.000000,1,5.173697
82,0.035734,1,10.074503
83,0.000000,2,11.286871
84,0.014567,2,12.356752
85,0.000000,1,12.275766
86,0.000000,2,11.772112
87,0.030767,1,11.700763
88,0.000000,1,12.038465
89,0.014745,2,12.207573
90,0.000000,2,11.825228
91,0.030946,1,11.633098
92,0.015699,2,11.465759
93,0.000000,1,10.948414
94,0.000000,1,11.702966
95,0.015661,2,11.493639
96,0.015713,2,11.455598
97,0.000000,1,11.326806
98,0.000000,1,12.486701
99,0.014041,2,12.820025
100,0.000000,2,12.677436
101,0.000000,1,12.077107
102,0.000000,1,12.790584
103,0.000000,2,12.840435
104,0.014305,2,12.582990
105,0.000000,1,14.723867
106,0.000000,2,15.520939
107,0.000000,1,16.322062
108,0.000000,1,15.893590
109,0.012183,2,14.775170
110,0.000000,1,14.692255
111,0.000000,2,14.649498
112,0.000000,2,14.539849
113,0.000000,1,12.865345
114,0.000000,1,13.608245
115,0.000000,2,13.982623
116,0.012828,2,14.031482
117,0.000000,1,14.660507
118,0.000000,1,14.402030
119,0.000000,1,14.402030
120,0.000000,1,13.803563
121,0.012591,2,14.296468
122,0.000000,2,14.940542
123,0.000000,2,15.423946
124,0.011616,2,15.495458
125,0.000000,1,15.475892
126,0.000000,1,14.272171
127,0.000000,1,14.031482
128,0.000000,1,13.189104
129,0.000000,2,14.127635
130,0.000000,1,14.779134
131,0.000000,1,14.031482
132,0.000000,2,14.404063
133,0.000000,2,15.175642
134,0.000000,1,15.146849
135,0.000000,2,15.210943
136,0.000000,1,15.803291
137,0.000000,1,15.573316
138,0.000000,2,15.891748
139,0.000000,1,15.520939
140,-0.011645,2,15.457860
141,0.000000,2,15.048569
142,0.000000,1,15.849601
143,0.000000,2,15.423946
144,0.000000,1,15.520939
145,0.000000,2,14.834128
146,0.000000,2,14.662316
147,0.000000,2,13.337208
148,0.000000,2,13.392716
149,0.000000,1,13.539665
150,0.000000,2,12.615314
151,0.000000,1,13.189104
152,0.000000,1,14.618599
153,0.000000,2,14.759226
154,0.000000,1,14.834128
155,-0.011834,2,15.210943
156,0.000000,1,15.573316
157,0.000000,2,15.457860
158,0.000000,1,15.722104
159,0.000000,2,16.054954
160,0.000000,2,17.090933
161,0.000000,1,17.311327
162,0.000000,2,16.988485
163,0.000000,1,16.221917
164,-0.022798,1,15.790759
165,0.000000,2,15.361569
166,0.000000,1,11.510240
167,0.000000,2,9.116237
168,0.000000,2,0.417814
169,0.000000,1,5.765278
170,0.000000,2,2.565261
171,0.000000,1,2.901769
172,0.000000,2,2.443392
173,0.000000,2,2.467089
174,0.000000,2,0.967622
175,0.000000,1,0.483872
176,0.000000,1,0.483872
177,0.000000,2,0.241936
178,0.000000,16,1.041763
179,0.000000,1,3.834626
180,0.000000,2,2.824783
181,0.000000,1,1.671512
182,0.000000,2,1.051859
183,0.000000,1,2.369704
184,0.000000,1,3.617708
185,0.000000,1,3.244608
186,0.000000,1,2.736518
187,0.000000,2,3.720746
188,0.000000,1,3.313696
189,0.000000,1,2.215498
190,0.000000,2,1.528925
191,0.000000,2,0.241558
192,0.000000,1,0.482450
193,0.000000,5,2.200289
194,0.000000,1,6.859469
195,0.000000,2,8.779142
196,0.000000,2,11.375503
197,-0.014268,2,12.615314
198,0.000000,2,12.890189
199,0.000000,1,12.077107
200,0.000000,2,13.048306
201,0.000000,2,12.259895
202,0.000000,2,12.390826
203,0.000000,2,11.653117
204,0.000000,2,12.601471
205,0.000000,1,12.115548
206,0.000000,1,11.148584
207,0.000000,2,9.833033
208,0.020581,2,8.745943
209,0.000000,2,8.963883
210,0.000000,2,8.533399
211,0.000000,2,10.762063
212,0.000000,2,11.435114
213,0.000000,2,11.373523
214,-0.014940,2,12.048446
215,0.000000,1,12.892237
216,0.000000,1,13.159508
217,0.000000,2,13.551608
218,0.000000,1,13.957762
219,0.000000,1,13.150627
220,0.000000,1,13.594745
221,-0.025730,1,13.991310
222,0.000000,2,14.160604
223,0.000000,2,14.352403
224,0.000000,2,15.020442
225,0.000000,2,14.688137
226,0.000000,2,14.929409
227,0.000000,1,14.414195
228,-0.013326,2,13.507661
229,0.000000,2,12.390826
230,0.000000,1,12.019118
231,0.000000,1,12.449405
232,0.028681,1,12.551818
233,0.000000,1,12.792784
234,0.000000,2,12.633757
235,0.000000,1,13.285818
236,0.000000,2,13.691374
237,0.000000,2,13.703038
238,0.000000,1,13.233164
239,0.027730,1,12.982378
240,0.000000,2,14.270967
241,0.000000,2,14.662316
242,0.000000,1,14.723867
243,0.000000,1,15.640434
244,0.000000,2,15.256780
245,0.000000,2,14.758324
246,0.000000,1,13.539665
247,0.000000,1,12.449405
248,0.000000,1,11.001445
249,0.000000,2,9.977767
250,0.038673,2,4.654355
251,0.000000,1,1.276780
252,0.000000,2,1.964005
253,0.000000,1,4.788526
254,0.000000,2,1.206209
255,0.000000,2,3.429734
256,0.000000,1,6.808421
257,0.000000,2,9.045761
258,0.000000,1,11.633098
259,0.000000,1,12.792784
260,0.000000,2,13.134982
261,0.013577,2,13.257374
262,0.000000,2,13.933615
263,0.000000,1,13.433936
264,0.000000,1,13.520279
265,0.000000,2,14.031482
266,0.000000,1,14.163548
267,0.000000,2,14.390847
268,0.000000,2,13.257374
269,0.000000,1,13.355737
270,0.000000,2,13.846718
271,0.000000,1,13.803563
272,0.000000,2,13.788754
273,0.013632,2,13.204597
274,0.000000,2,12.543966
