ID,Pendiente,Tiempo,Velocidad
1,0.000000,1,4.065606
2,0.000000,1,4.151095
3,0.000000,2,2.032803
4,0.000000,2,2.032803
5,0.000000,2,1.884524
6,0.000000,1,4.065606
7,0.000000,1,4.065606
8,0.000000,7,0.593014
9,0.000000,1,4.065606
10,0.000000,2,9.573365
11,0.000000,1,21.131258
12,-0.010440,2,17.241017
13,0.000000,2,16.810150
14,0.000000,2,9.346975
15,0.000000,1,4.778186
16,0.000000,1,1.081973
17,0.000000,1,1.529845
18,0.000000,1,1.529845
19,0.000000,2,0.765070
20,0.000000,1,1.184854
21,0.000000,2,0.764923
22,0.000000,2,0.764923
23,0.000000,26,0.041614
24,0.000000,1,1.529845
25,0.000000,2,16.106130
26,0.000000,2,13.662767
27,0.000000,1,13.151592
28,0.000000,1,15.146849
29,0.011994,2,15.006924
30,0.026502,1,27.167933
31,0.028692,1,25.093912
32,0.014952,2,12.038573
33,0.014479,1,24.863623
34,0.012853,1,28.009274
35,0.010502,2,17.139254
36,0.008663,2,20.778275
37,0.016180,2,11.125121
38,0.022311,2,16.135715
39,0.000000,1,15.374894
40,0.028597,1,12.588894
41,0.019461,2,9.249404
42,0.000000,1,12.855722
43,0.023904,1,15.059977
44,0.030624,1,23.510977
45,0.000000,2,8.264511
46,0.027814,1,12.942986
47,0.027162,1,13.253962
48,0.028004,2,12.855530
49,0.048231,1,14.928145
50,0.031153,2,11.555937
51,0.022279,1,16.158834
52,0.068081,1,5.287795
53,0.024405,1,14.751313
54,0.054920,1,6.554930
55,0.029585,2,6.084076
56,0.019337,1,18.617267
57,0.037085,2,9.707342
58,0.044534,1,16.167395
59,0.032230,2,16.754720
60,0.040105,1,17.952851
61,0.068167,1,26.405669
62,0.103742,2,8.675395
63,0.241054,2,9.707368
64,0.022267,1,16.167395
65,0.065124,1,5.527944
66,0.021780,2,8.264511
67,0.037299,1,9.651748
68,0.000000,2,0.417814
69,0.248524,1,1.448554
70,0.000000,2,2.390134
71,0.000000,1,3.893443
72,0.089131,2,2.019508
73,0.000000,1,3.893443
74,0.092463,1,3.893443
75,0.000000,46,0.084640
76,0.000000,1,4.039016
77,0.000000,1,3.893443
78,0.000000,1,13.429742
79,-0.012679,2,14.196290
80,0.000000,1,19.469347
81,0.000000,1,17.090482
82,-0.008651,2,20.806996
83,-0.011695,1,30.782070
84,-0.011961,2,15.048569
85,0.000000,1,24.453241
86,0.012887,2,13.968000
87,0.000000,1,29.362457
88,0.000000,2,12.038467
89,0.010221,2,17.610745
90,0.019901,1,18.089341
91,0.000000,1,19.834798
92,0.017424,2,10.330475
93,0.000000,1,16.534555
94,0.022241,2,8.093000
95,0.026959,1,26.707086
96,0.019901,1,18.089341
97,0.035810,1,30.158932
98,0.042168,2,8.537348
99,0.029969,1,24.024834
100,0.033857,2,15.949615
101,0.034573,1,20.825791
102,0.020945,1,17.187671
103,0.000000,1,22.431366
104,0.000000,1,17.664358
105,0.000000,2,12.012417
106,0.024047,1,14.970488
107,0.000000,1,13.419065
108,0.000000,2,12.991855
109,0.000000,1,16.721399
110,0.000000,1,12.082450
111,0.000000,1,10.774800
112,0.000000,2,7.452288
113,0.000000,1,17.556145
114,0.000000,1,6.804281
115,0.000000,2,8.661535
116,0.000000,1,18.551063
117,0.018277,1,19.697249
118,0.000000,2,11.347322
119,0.000000,2,14.652576
120,0.000000,1,13.062812
121,0.000000,1,11.457432
122,0.000000,1,11.819538
123,0.020090,2,8.959568
124,0.000000,1,9.797490
125,0.000000,2,3.783467
126,0.287134,1,5.015088
127,0.042926,1,8.386502
128,0.000000,1,9.213358
129,0.031613,2,5.693891
130,0.026910,1,13.377964
131,0.097072,1,3.708572
132,0.000000,1,6.622578
133,0.036072,2,4.989978
134,0.046257,1,7.782682
135,0.000000,2,1.132250
136,0.000000,2,0.800053
137,0.000000,3,0.278692
138,0.000000,2,0.241558
139,0.031188,9,1.282532
140,0.033370,1,10.788062
141,0.042974,1,16.754386
142,0.016354,1,22.013633
143,0.016037,2,11.224165
144,0.000000,1,13.987451
145,0.020205,1,17.817160
146,0.025528,2,7.051100
147,0.028862,1,12.473190
148,0.031838,1,11.307092
149,0.029375,1,12.255408
150,0.044867,1,8.023766
151,0.034252,2,5.255114
152,0.000000,1,9.230440
153,0.061485,2,2.927561
154,0.000000,1,5.737507
155,0.051503,1,6.989846
156,0.000000,2,9.379445
157,-0.054236,2,9.956466
158,0.000000,1,6.026072
159,0.068081,1,5.287795
160,0.000000,2,3.601521
161,0.058500,1,6.153811
162,0.000000,1,5.942074
163,0.000000,1,6.469142
164,0.060585,1,5.942074
165,0.000000,2,3.076906
166,0.000000,132,0.045016
167,0.058500,1,6.153811
168,0.020745,1,34.707326
169,0.016426,2,10.958135
170,0.022765,1,15.813828
171,0.019303,1,18.650340
172,0.030746,1,23.417399
173,0.024028,2,7.491222
174,0.029427,1,12.233610
175,0.031260,2,11.516294
176,0.042392,1,16.984408
177,0.021437,1,16.793212
178,0.034394,2,20.933939
179,0.020748,1,17.350790
180,0.027620,2,13.034018
181,0.038078,1,18.908784
182,0.028639,2,12.570431
183,0.021973,1,16.384018
184,0.044816,1,16.065515
185,0.017554,2,10.253830
186,0.053072,1,13.566384
